Timestamp,User Story Title,Use Case,Preconditions,Actors,Scenario,Alternative Scenario,Desired Outcome,Tags,what,Where,How,Care about
3/4/2014 12:06:39,Parallel edit without conflicts,More than one person editing the same file in different parts at the same time,"Repository exists, File exists, File Content exists","Alice, Bob",Alice checkouts repository; Bob checkouts repository; Alice edits file; Bob edits same file in different place; Alice commits changes; Bob commits changes;,,Both commits are successful,"File, Repository","Edit, 2-way merge","File, Text",Common ancestor,
3/4/2014 12:07:53,Parallel edit with conflicts and manual resolution,More than one person editing the same file in the same part at the same time,"Repository exists, File exists, File Content exists","Alice, Bob",Alice checkouts repository; Bob checkouts repository; Alice edits file; Bob edits same file in same place as Alice; Alice commits changes; Bob commits changes;,,"Alice’s commit is successful, Bob’s commit is refused and he is asked to manually solve the conflict","File, Repository, 2-Way Diff/Merge","Edit, 2-way merge","Element, Text",Common ancestor,
3/4/2014 12:09:09,Parallel remove file,"More than one person touching a file, one removes it while the other edits it","Repository exists, File exists","Alice, Bob",Alice checkouts repository; Bob checkouts repository; Alice removes file; Alice commits changes; Bob edits file; Bob commits changes;,,"Alice’s commit is successful, Bob’s commit is refused and he is asked to manually solve the conflict","File, Repository","2-way merge, Remove",File,Common ancestor,
3/4/2014 12:10:26,Commit to wrong branch,"When you figure out that you have changes done on the wrong product line, and don't want to redo the changes","Repository exists, File exists, Different branches exist",Alice,Alice checkouts repository; Alice edits file; Alice figures out that is editing the wrong branch and wants to change to the intended branch;,,Alice's changes are in the correct branch and have not changed the other branch ,"File, Repository, Fork/Branch","Edit,Move",Repository,Common ancestor,
3/4/2014 12:11:31,Serial simple edit file,More than one person editing the same file in the same part non-concurrently,"Repository exists, File exists","Alice, Bob",Alice checkouts repository; Alice edits file; Alice commits changes; Bob checkouts repository; Bob edits same file in different place; Bob commits changes;,,Both commits are successful,"File, Repository",Edit,Text,Common ancestor,
3/4/2014 12:12:18,Simple parallel edit on different branches,More than one person editing the same file in the same part at the same time but in different branches,"Repository exists, File exists, Different branches exist","Alice, Bob",Alice checkouts repository; Alice edits file; Alice commits changes; Bob checkouts repository in different branch; Bob edits same file in different place; Bob commits changes;,,Both commits are successful,"File, Repository, Fork/Branch",Edit,Repository,Common ancestor,
3/4/2014 13:47:08,Merge different branches,Merge changes that have been done in a separate branch  ant to get all change from another branch,"Repository exists, Different branches exist",Alice,Alice checkouts out branch; Alice merges with another branch;,,"Both branches become the same, all conflicts are solved","Repository, 2-Way Diff/Merge, Fork/Branch","2-way merge, Fork/branch",Repository,Common ancestor,
3/4/2014 15:48:20,Simple revert file to the immediate previous version,After committing a change in a file I want to revert to the previous version,"Repository exists, File exists, File Content exists",Alice,Alice checkouts repository; Alice edits file; Alice commits changes; Alice reverts changes;,,The file returns to the previous state,"File, Repository",Revert,"File, Repository",Common ancestor,
3/4/2014 16:33:57,Simple revert file to a version of choice,I want to revert a file to a previous version of my choice,"Repository exists, File exists, File Content exists",Alice,Alice checkouts repository; Alice gets log of versions; Alice revert to one in list;,,The file returns to the chosen previous state,"File, Repository",Revert,"File, Repository",Common ancestor,
3/5/2014 13:34:35,Simple revert file to a version of choice with conflict,A user reverts file to a previous version before another user commits.,"Repository exists, File exists","Alice, Bob",Alice checkouts repository; Alice edits file; Alice commits changes; Bob checkouts repository; Bob edits file; Alice reverts to previous version; Bob commits changes;,,"Alice’s commit is successful, Bob’s commit is refused and he is asked to manually solve the conflict","File, Repository","Revert, 2-way merge","File, Repository",Common ancestor,
3/5/2014 13:41:20,Remove element with conflicts,"A user removes an element while another edits it.
","Repository exists, File exists, File Content exists","Alice, Bob","Alice checkout repository; Bob checkout repository; Alice edits file (Remove element); Bob edits same file, same element; Alice commits changes;Bob commits changes;",,"Alice’s commit is successful, Bob’s commit is refused and he is asked to manually solve the conflict","File, 2-Way Diff/Merge, XML Specific","Remove, 2-way merge",Element,Common ancestor,
3/5/2014 13:44:18,Rename element with conflicts,Two users edit the same element at the same time,"Repository exists, File exists, File Content exists","Alice, Bob",Alice checkout repository; Bob checkout repository; Alice edits file: element <x> to <y>; Bob edits same file: tag <x> to <z>; Alice commits changes; Bob commits changes;,,"Alice’s commit is successful, Bob’s commit is refused and he is asked to manually solve the conflict","File, 2-Way Diff/Merge, XML Specific","Rename, 2-way merge",Element,Common ancestor,
